date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:26:18	5230/5230	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Sep%202021%2015:56:18%20GMT	https://tarunks.ml/robots.txt		(from )
21:26:19	3085/3085	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2017:03:39%20GMT	https://tarunks.ml/	/storage/emulated/0/HTTrack/Websites/profilo/tarunks.ml/index.html	(from )
21:26:19	9127/9127	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Sep%202021%2015:56:19%20GMT	https://tarunks.ml/favicon.ico	/storage/emulated/0/HTTrack/Websites/profilo/tarunks.ml/favicon.ico	(from https://tarunks.ml/)
21:26:21	176514/176514	---M-Z	200	added ('OK')	text/css	etag:%225eb03e1d-2b182%22	https://cdnjs.cloudflare.com/ajax/libs/bulma/0.7.4/css/bulma.min.css	/storage/emulated/0/HTTrack/Websites/profilo/cdnjs.cloudflare.com/ajax/libs/bulma/0.7.4/css/bulma.min.css	(from https://tarunks.ml/)
21:26:21	2643/2643	---MCZ	200	added ('OK')	text/css	etag:W/%2260edc76b-f04%22	https://tarunks.ml/style.css	/storage/emulated/0/HTTrack/Websites/profilo/tarunks.ml/style.css	(from https://tarunks.ml/)
21:26:24	4256/4256	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2015:56:23%20GMT	https://tarunks.ml/cdn-cgi/l/email-protection	/storage/emulated/0/HTTrack/Websites/profilo/tarunks.ml/cdn-cgi/l/email-protection.html	(from https://tarunks.ml/)
21:26:24	77794/77794	---M--	200	added ('OK')	image/jpeg	etag:%2260edc76b-12fe2%22	https://tarunks.ml/tarun1.jpg	/storage/emulated/0/HTTrack/Websites/profilo/tarunks.ml/tarun1.jpg	(from https://tarunks.ml/)
21:26:25	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%226149ff86-4d7%22	https://tarunks.ml/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	/storage/emulated/0/HTTrack/Websites/profilo/tarunks.ml/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://tarunks.ml/)
21:26:26	986033/986033	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d0482db440697a659af4980d2e841891%22	https://use.fontawesome.com/releases/v5.3.1/js/all.js	/storage/emulated/0/HTTrack/Websites/profilo/use.fontawesome.com/releases/v5.3.1/js/all.js	(from https://tarunks.ml/)
21:26:27	3897/3897	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260edc76b-127e%22	https://tarunks.ml/script.js	/storage/emulated/0/HTTrack/Websites/profilo/tarunks.ml/script.js	(from https://tarunks.ml/)
21:26:29	325350/325350	---M--	200	added ('OK')	image/png	etag:%223af5559de136a235f9a75e5e728d2cc2%22	https://i.imgur.com/SsVBVWk.png	/storage/emulated/0/HTTrack/Websites/profilo/i.imgur.com/SsVBVWk.png	(from https://tarunks.ml/style.css)
